CODIGO_CENTRO,CODIGO_PROGRAMA_FORMACION,FICHA,AÑO_FICHA,INSCRITOS_REALES_19_24,INSCRITOS_PREDICCION_19_24,MATRICULADOS_PREDICHOS_19_24,NOMBRE_REGIONAL,CODIGO_REGIONAL,DATOS_CENTRO,PROGRAMA_FORMACION,MATRICULADOS
9305,228106,2281585,2021,99.0,99.0,49.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9305,228106,2281961,2021,98.0,98.0,49.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,52
9305,228106,2348224,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9305,228106,2348482,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,52
9110,621113,2281657,2021,93.0,93.0,49.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTIÓN DE MERCADOS,49
9110,621113,2348289,2021,67.0,67.0,49.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTIÓN DE MERCADOS,41
9110,621113,2374537,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTIÓN DE MERCADOS,47
9305,621113,2281658,2021,93.0,93.0,49.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN DE MERCADOS,50
9305,621113,2281985,2021,92.0,92.0,47.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN DE MERCADOS,46
9305,621113,2348290,2021,69.0,68.0,47.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN DE MERCADOS,55
9305,621113,2348500,2021,68.0,68.0,48.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN DE MERCADOS,48
9305,621113,2374538,2021,52.0,52.0,42.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN DE MERCADOS,45
9305,822202,2281708,2021,100.0,100.0,49.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN LOGÍSTICA,50
9305,822202,2348336,2021,98.0,98.0,49.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN LOGÍSTICA,51
9305,822202,2374587,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,GESTIÓN LOGÍSTICA,46
9514,822202,2281709,2021,100.0,100.0,49.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,GESTIÓN LOGÍSTICA,48
9514,822202,2348337,2021,97.0,97.0,50.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,GESTIÓN LOGÍSTICA,48
9305,122702,2281750,2021,100.0,101.0,49.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,NEGOCIACIÓN INTERNACIONAL,53
9305,122702,2348373,2021,96.0,96.0,51.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,NEGOCIACIÓN INTERNACIONAL,51
9305,122702,2348516,2021,95.0,95.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,NEGOCIACIÓN INTERNACIONAL,48
9305,122702,2374636,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,NEGOCIACIÓN INTERNACIONAL,44
9305,228101,2281784,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,PRODUCCION DE MULTIMEDIA,46
9305,228101,2282018,2021,70.0,69.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,PRODUCCION DE MULTIMEDIA,48
9305,228101,2348401,2021,83.0,82.0,52.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,PRODUCCION DE MULTIMEDIA,53
9514,228101,2281785,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,PRODUCCION DE MULTIMEDIA,51
9514,228101,2282019,2021,69.0,69.0,47.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,PRODUCCION DE MULTIMEDIA,47
9110,228106,2348222,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,51
9111,228106,2348223,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,52
9111,228106,2348647,2021,69.0,69.0,47.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9111,228106,2348683,2021,69.0,69.0,47.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9111,228106,2348719,2021,69.0,69.0,47.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9111,228106,2374477,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,44
9111,228106,2374779,2021,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,44
9111,228106,2374800,2021,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,46
9514,228106,2348225,2021,70.0,70.0,50.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,46
9514,228106,2374478,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,46
9110,122702,2348372,2021,96.0,96.0,51.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,NEGOCIACIÓN INTERNACIONAL,50
9110,122702,2374635,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,NEGOCIACIÓN INTERNACIONAL,42
9110,822202,2374586,2021,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTIÓN LOGÍSTICA,46
9111,228118,2455228,2021,50.0,51.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,43
9111,228118,2521966,2022,98.0,98.0,49.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,48
9111,228118,2547382,2022,101.0,100.0,48.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,46
9111,228118,2834820,2023,67.0,55.0,49.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,55
9111,228118,2879632,2023,52.0,52.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,46
9111,228118,2977343,2024,53.0,52.0,44.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,41
9111,228118,2977344,2024,50.0,52.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,36
9111,228118,2977345,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,37
9111,228118,2977346,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,41
9111,228118,2977347,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,43
9111,228118,2977348,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,42
9111,228118,3070207,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9111 - CENTRO MINERO,ANALISIS Y DESARROLLO DE SOFTWARE.,38
9110,228118,2626978,2022,89.0,89.0,50.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,50
9110,228118,2675770,2022,84.0,84.0,51.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,51
9110,228118,2834906,2023,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,40
9110,228118,2977341,2024,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,42
9110,228118,2977342,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,42
9305,228118,2627048,2022,89.0,87.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,52
9305,228118,2721490,2023,80.0,80.0,51.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,55
9305,228118,2758318,2023,72.0,73.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,50
9305,228118,2834892,2023,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,44
9305,228118,2879677,2023,50.0,51.0,42.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,48
9305,228118,2977440,2024,53.0,52.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,48
9305,228118,2977441,2024,50.0,51.0,42.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANALISIS Y DESARROLLO DE SOFTWARE.,48
9514,228118,2675842,2022,72.0,68.0,50.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,ANALISIS Y DESARROLLO DE SOFTWARE.,52
9514,228118,2758352,2023,72.0,71.0,50.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,ANALISIS Y DESARROLLO DE SOFTWARE.,55
9514,228118,2834831,2023,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,ANALISIS Y DESARROLLO DE SOFTWARE.,37
9514,228118,3070208,2024,50.0,51.0,42.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,ANALISIS Y DESARROLLO DE SOFTWARE.,46
9514,522309,2721329,2023,52.0,52.0,42.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,DESARROLLO DE MEDIOS GRAFICOS VISUALES,46
9514,522309,2758197,2023,51.0,52.0,44.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,DESARROLLO DE MEDIOS GRAFICOS VISUALES,39
9514,522309,2977237,2024,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,DESARROLLO DE MEDIOS GRAFICOS VISUALES,43
9514,522309,3070214,2024,53.0,53.0,44.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,DESARROLLO DE MEDIOS GRAFICOS VISUALES,43
9305,524703,2721365,2023,97.0,97.0,50.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANIMACION 3D.,53
9305,524703,2834655,2023,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANIMACION 3D.,44
9305,524703,2977297,2024,53.0,53.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,ANIMACION 3D.,45
9305,124100,2721688,2023,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,DESARROLLO PUBLICITARIO,37
9305,124100,2758457,2023,51.0,48.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,DESARROLLO PUBLICITARIO,41
9305,124100,2834775,2023,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,DESARROLLO PUBLICITARIO,40
9305,217320,2758102,2023,52.0,51.0,42.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,DESARROLLO MULTIMEDIA Y WEB,48
9305,217320,2834416,2023,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,DESARROLLO MULTIMEDIA Y WEB,43
9110,723179,2758202,2023,98.0,94.0,49.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTION AGROEMPRESARIAL,50
9110,723179,2834552,2023,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTION AGROEMPRESARIAL,44
9110,723179,2834553,2023,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTION AGROEMPRESARIAL,43
9110,723179,2977244,2024,50.0,50.0,42.0,REGIONAL BOYACÁ,15,9110 - CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,GESTION AGROEMPRESARIAL,37
9514,228108,2879620,2023,53.0,53.0,44.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,DESARROLLO DE VIDEOJUEGOS Y ENTORNOS INTERACTIVOS,47
9514,821207,2879923,2023,50.0,54.0,42.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,GESTION EFICIENTE DE LA ENERGIA,43
9514,821207,2977909,2024,61.0,61.0,52.0,REGIONAL BOYACÁ,15,9514 - CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,GESTION EFICIENTE DE LA ENERGIA,52
9551,217320,2977148,2024,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9551 - CENTRO DE LA INNOVACIÓN AGROINDUSTRIAL Y DE SERVICIOS,DESARROLLO MULTIMEDIA Y WEB,42
9305,121523,3070210,2024,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,COORDINACION DE PROCESOS LOGISTICOS,41
9305,121523,3070212,2024,51.0,51.0,44.0,REGIONAL BOYACÁ,15,9305 - CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,COORDINACION DE PROCESOS LOGISTICOS,44
9551,121523,3070211,2024,50.0,51.0,42.0,REGIONAL BOYACÁ,15,9551 - CENTRO DE LA INNOVACIÓN AGROINDUSTRIAL Y DE SERVICIOS,COORDINACION DE PROCESOS LOGISTICOS,44
9119,228106,2281607,2021,99.0,99.0,49.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,49
9119,228106,2282201,2021,98.0,98.0,49.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,55
9119,228106,2282259,2021,98.0,98.0,49.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,51
9119,228106,2282317,2021,99.0,99.0,49.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,49
9119,228106,2348245,2021,70.0,70.0,50.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9119,228106,2348490,2021,69.0,69.0,47.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,50
9119,228106,2374497,2021,51.0,51.0,44.0,REGIONAL NORTE DE SANTANDER,54,9119 - CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,47
9537,228106,2281608,2021,99.0,99.0,49.0,REGIONAL NORTE DE SANTANDER,54,"9537 - CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,48
9537,228106,2282449,2021,98.0,98.0,49.0,REGIONAL NORTE DE SANTANDER,54,"9537 - CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,47
9537,228106,2282454,2021,98.0,98.0,49.0,REGIONAL NORTE DE SANTANDER,54,"9537 - CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION,49
